brand,price,rating,RAM_GB,ROM_GB,Expandable_GB,Rear_MP,Battery_mAh
GOOGLE,109999,4.6,16.0,256.0,0.0,48.0,4870.0
POCO,6199,3.8,4.0,64.0,2048.0,32.0,5200.0
POCO,6799,4.1,6.0,128.0,2048.0,32.0,5200.0
MOTOROLA,13999,4.5,8.0,128.0,0.0,50.0,7000.0
POCO,9999,4.2,8.0,128.0,1024.0,50.0,5160.0
APPLE,69900,4.6,,,0.0,48.0,18.0
POCO,8999,4.1,6.0,128.0,1024.0,50.0,5160.0
REALME,6999,4.4,4.0,64.0,2048.0,32.0,5000.0
MOTOROLA,16999,4.3,8.0,128.0,1024.0,50.0,6720.0
REALME,11999,4.4,6.0,128.0,0.0,50.0,6000.0
MOTOROLA,9999,4.2,4.0,128.0,1024.0,50.0,5000.0
POCO,12499,4.3,6.0,128.0,0.0,50.0,5110.0
REALME,9699,4.2,6.0,128.0,2048.0,13.0,6300.0
POCO,10805,4.2,8.0,128.0,1024.0,108.0,5030.0
POCO,7799,4.2,4.0,64.0,1024.0,50.0,5160.0
SAMSUNG,6499,4.2,4.0,64.0,1024.0,50.0,5000.0
REDMI,6499,4.1,3.0,64.0,2048.0,32.0,5200.0
SAMSUNG,6799,4.2,4.0,64.0,2048.0,50.0,5000.0
POCO,14499,4.3,8.0,256.0,0.0,50.0,5110.0
REDMI,7499,4.2,4.0,128.0,2048.0,32.0,5200.0
POCO,8499,4.2,4.0,128.0,1024.0,50.0,5160.0
SAMSUNG,18499,4.4,8.0,128.0,1024.0,50.0,5000.0
REALME,10698,4.3,4.0,128.0,0.0,50.0,6000.0
SAMSUNG,20499,4.4,8.0,256.0,1024.0,50.0,5000.0
REALME,10999,4.3,6.0,128.0,0.0,32.0,6000.0
MOTOROLA,7999,4.3,4.0,64.0,1024.0,50.0,7000.0
NOKIA,1009,3.8,,,0.0,0.0,800.0
SAMSUNG,9999,4.1,4.0,128.0,0.0,50.0,5000.0
MOTOROLA,7299,4.2,4.0,64.0,1024.0,50.0,5100.0
SAMSUNG,40999,4.6,8.0,128.0,0.0,50.0,4000.0
MOTOROLA,12499,4.3,8.0,128.0,1024.0,50.0,5000.0
REALME,12999,4.4,8.0,128.0,0.0,50.0,6000.0
OPPO,13999,4.5,6.0,128.0,2048.0,50.0,6000.0
APPLE,79900,4.6,,,0.0,48.0,18.0
AI+,5999,4.3,4.0,64.0,1024.0,50.0,5000.0
REALME,10499,4.4,4.0,128.0,2048.0,32.0,6000.0
REALME,23999,4.4,8.0,256.0,0.0,50.0,6000.0
POCO,10999,4.2,8.0,128.0,1024.0,108.0,5030.0
OPPO,12499,4.4,4.0,128.0,2048.0,50.0,6000.0
REALME,38999,4.4,12.0,512.0,0.0,50.0,7000.0
MOTOROLA,19999,4.3,8.0,256.0,1024.0,50.0,5000.0
REALME,7614,4.3,4.0,64.0,2048.0,13.0,6300.0
VIVO,18499,4.4,8.0,256.0,0.0,50.0,6500.0
VIVO,12999,4.4,6.0,128.0,2048.0,50.0,6000.0
REALME,17499,4.5,6.0,128.0,2048.0,50.0,7000.0
REALME,7446,4.3,4.0,64.0,0.0,13.0,6300.0
MOTOROLA,37999,4.4,16.0,512.0,0.0,50.0,6000.0
SAMSUNG,11499,4.2,6.0,128.0,0.0,50.0,5000.0
VIVO,14999,4.3,8.0,256.0,2048.0,50.0,6000.0
REALME,33999,4.3,8.0,256.0,0.0,50.0,7000.0
MOTOROLA,19999,4.4,8.0,256.0,0.0,50.0,5500.0
REDMI,12838,4.2,8.0,128.0,0.0,108.0,5030.0
MOTOROLA,22999,4.4,8.0,256.0,1024.0,50.0,5500.0
VIVO,15499,4.4,6.0,128.0,0.0,50.0,6500.0
VIVO,16499,4.4,8.0,128.0,0.0,50.0,6500.0
MICROMAX,974,3.8,,,0.0,8.0,1200.0
VIVO,11999,4.4,4.0,128.0,2048.0,50.0,6000.0
REDMI,13499,4.3,6.0,128.0,0.0,50.0,5110.0
MOTOROLA,16999,4.4,8.0,128.0,0.0,50.0,7000.0
MOTOROLA,15999,4.4,8.0,128.0,0.0,50.0,5000.0
SAMSUNG,35999,4.5,8.0,256.0,0.0,50.0,4700.0
SAMSUNG,45999,4.6,8.0,256.0,0.0,50.0,4000.0
REDMI,9243,4.3,4.0,128.0,0.0,50.0,5160.0
REALME,10999,4.3,6.0,128.0,0.0,50.0,6000.0
REALME,8456,4.3,6.0,128.0,0.0,13.0,6300.0
REALME,29999,4.4,12.0,512.0,0.0,50.0,6000.0
SAMSUNG,26948,4.4,8.0,256.0,1024.0,50.0,5000.0
POCO,12999,4.3,6.0,128.0,2048.0,50.0,7000.0
REALME,17999,4.4,6.0,128.0,0.0,50.0,7000.0
VIVO,24999,4.5,8.0,256.0,0.0,50.0,7300.0
REDMI,12815,4.2,8.0,128.0,0.0,108.0,5030.0
ITEL,1349,4.1,,,0.0,8.0,1900.0
GOOGLE,44999,4.4,8.0,256.0,0.0,48.0,5100.0
REALME,11499,4.4,6.0,128.0,2048.0,32.0,6000.0
NOTHING,26999,4.5,8.0,256.0,0.0,50.0,5000.0
LAVA,1579,4.1,,32.0,0.0,3.0,2575.0
REALME,7415,4.3,4.0,64.0,2048.0,13.0,6300.0
POCO,32999,4.4,12.0,512.0,0.0,50.0,7550.0
NOTHING,24999,4.5,8.0,128.0,0.0,50.0,5000.0
SAMSUNG,14573,4.2,6.0,128.0,0.0,50.0,5000.0
LAVA,1139,4.1,,,0.0,3.0,1200.0
ONEPLUS,38929,4.5,12.0,256.0,0.0,50.0,6000.0
REALME,7587,4.3,4.0,64.0,0.0,13.0,6300.0
MOTOROLA,24999,4.4,12.0,256.0,1024.0,50.0,5500.0
INFINIX,16999,4.4,6.0,128.0,0.0,64.0,5500.0
SAMSUNG,24433,4.4,8.0,128.0,1024.0,50.0,5000.0
POCO,21999,4.3,8.0,256.0,0.0,50.0,6550.0
GOOGLE,54999,4.6,12.0,256.0,0.0,50.0,4700.0
JIO,750,3.7,,,0.0,3.0,1000.0
LAVA,998,4.2,,,0.0,0.0,1000.0
KECHAODA,873,4.0,,16.0,0.0,0.0,800.0
ONEPLUS,38299,4.5,12.0,512.0,0.0,50.0,6800.0
VIVO,8977,4.3,4.0,64.0,2048.0,13.0,5500.0
VIVO,26999,4.5,12.0,256.0,0.0,50.0,7300.0
VIVO,22999,4.5,8.0,128.0,0.0,50.0,7300.0
APPLE,54900,4.6,,,0.0,12.0,15.0
NOTHING,30999,4.5,8.0,256.0,0.0,50.0,5000.0
NOTHING,28999,4.5,8.0,128.0,0.0,50.0,5000.0
KARBONN,1299,4.2,,,0.0,2.0,1800.0
MOTOROLA,29999,4.3,8.0,256.0,0.0,50.0,6000.0
REALME,18999,4.3,8.0,128.0,2048.0,50.0,7000.0
ONEPLUS,26978,4.5,8.0,256.0,0.0,50.0,7100.0
